order_id,customer_id,order_amount,currency,order_date,order_status
ORD-0001,CUS-060,12112.0,INR,2026-07-01T10:00:00,confirmed
ORD-0002,CUS-052,3171.0,INR,2026-07-02T10:00:00,confirmed
ORD-0003,CUS-064,18368.0,INR,2026-07-03T10:00:00,confirmed
ORD-0004,CUS-065,14140.0,INR,2026-07-04T10:00:00,confirmed
ORD-0005,CUS-051,16290.0,INR,2026-07-05T10:00:00,confirmed
ORD-0006,CUS-054,8675.0,INR,2026-07-06T10:00:00,confirmed
ORD-0007,CUS-062,18681.0,INR,2026-07-07T10:00:00,confirmed
ORD-0008,CUS-004,17173.0,INR,2026-07-08T10:00:00,confirmed
ORD-0009,CUS-017,7557.0,INR,2026-07-09T10:00:00,confirmed
ORD-0010,CUS-086,17344.0,INR,2026-07-10T10:00:00,confirmed
ORD-0011,CUS-061,14270.0,INR,2026-07-11T10:00:00,confirmed
ORD-0012,CUS-030,15997.0,INR,2026-07-12T10:00:00,confirmed
ORD-0013,CUS-087,15168.0,INR,2026-07-13T10:00:00,confirmed
ORD-0014,CUS-033,18079.0,INR,2026-07-14T10:00:00,confirmed
ORD-0015,CUS-052,18543.0,INR,2026-07-15T10:00:00,confirmed
ORD-0016,CUS-071,10280.0,INR,2026-07-16T10:00:00,confirmed
ORD-0017,CUS-090,-16646.0,INR,2026-07-17T10:00:00,confirmed
ORD-0018,CUS-056,13371.0,INR,2026-07-18T10:00:00,confirmed
ORD-0019,CUS-035,-9846.0,INR,2026-07-19T10:00:00,confirmed
ORD-0020,CUS-020,1284.0,INR,2026-07-20T10:00:00,confirmed
ORD-0021,CUS-059,19771.0,INR,2026-07-21T10:00:00,confirmed
ORD-0022,CUS-047,16240.0,INR,2026-07-22T10:00:00,confirmed
ORD-0023,CUS-089,8723.0,INR,2026-07-23T10:00:00,confirmed
ORD-0024,CUS-066,15491.0,INR,2026-07-24T10:00:00,confirmed
ORD-0025,CUS-072,14428.0,INR,2026-07-25T10:00:00,confirmed
ORD-0026,CUS-038,1301.0,INR,2026-07-26T10:00:00,confirmed
ORD-0027,CUS-059,10576.0,INR,2026-07-27T10:00:00,confirmed
ORD-0028,CUS-089,14567.0,INR,2026-07-01T10:00:00,confirmed
ORD-0029,CUS-034,-17081.0,INR,2026-07-02T10:00:00,confirmed
ORD-0030,CUS-055,6198.0,INR,2026-07-03T10:00:00,confirmed
ORD-0031,CUS-009,15900.0,INR,2026-07-04T10:00:00,confirmed
ORD-0032,CUS-064,8931.0,INR,2026-07-05T10:00:00,confirmed
ORD-0033,CUS-025,3367.0,INR,2026-07-06T10:00:00,confirmed
ORD-0034,CUS-019,13677.0,INR,2026-07-07T10:00:00,confirmed
ORD-0035,CUS-012,659.0,INR,2026-07-08T10:00:00,confirmed
ORD-0036,CUS-075,14985.0,INR,2026-07-09T10:00:00,confirmed
ORD-0037,CUS-079,2921.0,INR,2026-07-10T10:00:00,confirmed
ORD-0038,CUS-016,8321.0,INR,2026-07-11T10:00:00,confirmed
ORD-0039,CUS-070,-1663.0,INR,2026-07-12T10:00:00,confirmed
ORD-0040,CUS-020,-11906.0,INR,2026-07-13T10:00:00,confirmed
ORD-0041,CUS-086,10470.0,INR,2026-07-14T10:00:00,confirmed
ORD-0042,CUS-063,19018.0,INR,2026-07-15T10:00:00,confirmed
ORD-0043,CUS-070,4619.0,INR,2026-07-16T10:00:00,confirmed
ORD-0044,CUS-076,15698.0,INR,2026-07-17T10:00:00,confirmed
ORD-0045,CUS-089,19799.0,INR,2026-07-18T10:00:00,confirmed
ORD-0046,CUS-011,9725.0,INR,2026-07-19T10:00:00,confirmed
